post_url,content_theme,collaboration,content_pillar,sku,content_mix_funnel
https://www.instagram.com/p/DVzvUvSDYz3/,Meme/Humor,Cuervo,The Front Row,Especial,Entertain
https://www.instagram.com/reel/DVrc-nUDw9M/,Partner,Partner,The Front Row,,Entertain
https://www.instagram.com/p/DVbS-YNFOQJ/,Product/Lifestyle,Cuervo,The Ritual,,Convince
https://www.instagram.com/p/DVSIfV8ja_J/,Partner,Cuervo,The Front Row,,Entertain
https://www.instagram.com/p/DVEpuEdDziZ/,Product/Lifestyle,Cuervo,The Pulse,,Educate
https://www.instagram.com/p/DU6ItbUD6Au/,,Influencer,The Craft,,Edutain
https://www.instagram.com/p/DU4Gem9kiG4/,,Influencer,The Craft,,Edutain
https://www.instagram.com/p/DU3c9hoDIpi/,,Partner,The Front Row,,Entertain
https://www.instagram.com/p/DU0dhkBFhW6/,,Influencer,The Craft,,Edutain
https://www.instagram.com/p/DUtrqfUEkMu/,,Influencer,The Craft,,Edutain
https://www.instagram.com/p/DUlMrQgjNfW/,Event/Activation,Partner,The Front Row,,Entertain
https://www.instagram.com/p/DUbNs6GgIGt/,,Collective,The Craft,,Entertain
https://www.instagram.com/p/DUeHg8tiYpl/,Brand Heritage / Culture,Cuervo,The Craft,,Educate
https://www.instagram.com/p/DUR5qa1Ddjb/,Brand Heritage / Culture,Cuervo,The Craft,,Educate
https://www.instagram.com/p/DUQ_oQNkTVA/,,Collective,The Craft,,Entertain
https://www.instagram.com/p/DUOaVCUADmg/,,Collective,The Craft,,Entertain
https://www.instagram.com/reel/DULp4hkguTr/,Brand Heritage / Culture,Cuervo,The Craft,,Educate
https://www.instagram.com/p/DUG6nyAEtK6/,Brand Heritage / Culture,Cuervo,The Craft,,Edutain
https://www.instagram.com/p/DT3gW5GDJ0M/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DTySNC9EY-K/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DTs_lHvDs3t/,Product/Lifestyle,Cuervo,The Craft,,Entertain
https://www.instagram.com/p/DTmWosKjcua/,Brand Heritage / Culture,Cuervo,The Craft,,Edutain
https://www.instagram.com/p/DTi6H46jkY4/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DTTcjDZD1ha/,Event/Activation,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DTOBGq4j7_i/,Cocktail Highlights,Cuervo,The Craft,,Educate
https://www.instagram.com/p/DTI29LUDAwz/,Cultural Moment/Holiday,Cuervo,The Ritual,,Entertain
https://www.instagram.com/reel/DS8N2sYEmAP/,Collective,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DS5X59LD4Gc/,Collective,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DS2zJ0-Dnig/,Collective,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DSyHV4SkmkO/,,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DSszzZWDag9/,Cocktail Highlights,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DSpquqtje_h/,Product/Lifestyle,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DSlCeeaEe0P/,Cultural Moment/Holiday,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DSkybafCeDC/,,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DSkjyNfgguc/,,Influencer,The Pulse,,Educate
https://www.instagram.com/p/DSdbMADlF9l/,Cocktail Highlights,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DSdUXh2kmJD/,,Influencer,The Pulse,,Entertain
https://www.instagram.com/p/DSa1r9Vj8sv/,,Influencer,The Pulse,,Entertain
https://www.instagram.com/reel/DSYKtZtDy9s/,Cocktail Highlights,Collective,The Pulse,,Educate
https://www.instagram.com/p/DSYJd8ciRa-/,,Influencer,The Pulse,,Entertain
https://www.instagram.com/p/DSS3CVWjCPk/,Cultural Moment/Holiday,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DSLYPvskVfg/,,Influencer,The Pulse,,Entertain
https://www.instagram.com/p/DSIjgzADSgl/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/reel/DR5U065DzA6/,Cocktail Highlights,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DRz6VDKE4H5/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DRxcC5nEl1m/,,Collective,The Pulse,,Entertain
https://www.instagram.com/reel/DRuxwPXESv7/,Collective,Collective,The Pulse,,Entertain
https://www.instagram.com/reel/DRnT1YVj-0L/,Giveaway/Promo,Cuervo,The Front Row,,Convince
https://www.instagram.com/reel/DRj0WKFke24/,Collective,Cuervo,The Pulse,,Entertain
https://www.instagram.com/reel/DRh6bc2D0LZ/,Collective,Cuervo,The Pulse,,Educate
https://www.instagram.com/p/DRckpihgP_J/?img_index=1,,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DRSZmg3kT64/?img_index=1,,Collective,The Ritual,,Entertain
https://www.instagram.com/p/DRNJaOwDVoS/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DRIZhwMD0hv/,Cocktail Highlights,Cuervo,The Pulse,,Educate
https://www.instagram.com/p/DRCpzvLDnov/,Brand Heritage / Culture,Cuervo,The Craft,,Educate
https://www.instagram.com/reel/DQ-CUcbk2QU/,Cocktail Highlights,Partner,The Craft,,Educate
https://www.instagram.com/p/DQ95KVFFxUI/,Cocktail Highlights,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DQ5bjpPDP74/,Collective,Cuervo,The Ritual,,Entertain
https://www.instagram.com/reel/DQxHhgZj80K/,Cocktail Highlights,Cuervo,The Front Row,,Convince
https://www.instagram.com/p/DQuI1IzDmbx/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/p/DQiW5vdjUdH/,Product/Lifestyle,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DQel4X-DtRP/,Cocktail Highlights,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DQcEv2TDLHW/,Collective,Collective,The Pulse,,Entertain
https://www.instagram.com/p/DQW2RJhjggV/,Collective,Collective,The Ritual,,Entertain
https://www.instagram.com/reel/DQKl9chDz2E/,Collective,Collective,The Ritual,,Entertain
https://www.instagram.com/reel/DQC1SVCEa1S/,Cocktail Highlights,Cuervo,The Craft,,Edutain
https://www.instagram.com/reel/DQCLq2ajr-i/,Giveaway/Promo,Cuervo,The Front Row,,Convince
https://www.instagram.com/reel/DP-IFN0Elnp/,Cocktail Highlights,Cuervo,The Craft,,Entertain
https://www.instagram.com/p/DP4EbZsD164/,Cocktail Highlights,Cuervo,The Ritual,,Entertain
https://www.instagram.com/reel/DPzDWXJk6Mj/,Cocktail Highlights,Cuervo,The Craft,,Entertain
https://www.instagram.com/reel/DPrGASqAgde/,Cocktail Highlights,Collective,The Ritual,,Edutain
https://www.instagram.com/p/DPmGqSVjhYk/,,Influencer,The Front Row,,Entertain
https://www.instagram.com/reel/DPjYRnjiQpc/,Event/Activation,Partner,The Craft,,Entertain
https://www.instagram.com/reel/DPhfVlLjzrP/,Product/Lifestyle,Cuervo,The Pulse,,Entertain
https://www.instagram.com/p/DPev6KWE3d1/,Event/Activation,Cuervo,The Ritual,,Entertain
https://www.instagram.com/reel/DPaE1uRChbB/,Event/Activation,Cuervo,The Craft,,Entertain
https://www.instagram.com/p/DPT-fmEDQuO/,Event/Activation,Cuervo,The Craft,,Educate
