brand,hashtag,times_used_in_30_days,is_branded_hashtag,estimated_hashtag_volume,category,notes
Casamigos,#ad,2,No,0,Community,
Espolon,#EspolonPartner,1,Yes,0,Branded,
Espolon,#ad,1,No,0,Community,
Patron,#PATRONCRISTALINO,1,Yes,0,Branded,
Patron,#PATRONELALTO,3,Yes,0,Branded,
Patron,#PATRONMargarita,1,Yes,0,Branded,
Patron,#PATRONSILVER,1,Yes,0,Branded,
Patron,#PATRONSilver,1,Yes,0,Branded,
Patron,#PATRONTequila,3,Yes,0,Branded,
Patron,#PATRONxGRAMMYS,7,Yes,0,Branded,
Patron,#PATRÓNCristalino,1,No,0,Community,
Patron,#PATRÓNReposado,1,No,0,Community,
Patron,#PATRÓNTequila,2,No,0,Community,
